Start date,Description,Item description,Planning,Actual,Unit
1/11/2024,Kerbstone,Kerbstone 91.5x20x10 B/N,795.00000000,795.00000000,Nos
1/11/2024,Kerbstone,Kerbstone 60x35x15 15ch,"1,135.00000000","1,135.00000000",Nos
1/11/2024,Kerbstone,Kerbstone 60x30x15 10ch,"1,270.00000000","1,270.00000000",Nos
1/11/2024,Kerbstone,Kerbstone 60x30x10 B/N,"1,240.00000000","1,240.00000000",Nos
1/11/2024,Kerbstone,Roof Tiles 50x50 5cm White,232.00000000,232.00000000,M2
1/13/2024,Kerbstone,Kerbstone 60x38x20 20ch,780.00000000,780.00000000,Nos
1/13/2024,Kerbstone,Kerbstone 91.5x20x10 B/N,605.00000000,605.00000000,Nos
1/13/2024,Kerbstone,Kerbstone 60x30x10 B/N,"1,090.00000000","1,090.00000000",Nos
1/13/2024,Kerbstone,Kerbstone 60x35x15 15ch,315.00000000,315.00000000,Nos
1/13/2024,Kerbstone,Kerbstone 60x30x15 10ch,"1,190.00000000","1,190.00000000",Nos
1/13/2024,Kerbstone,Kerbstone 60x35x20 15ch,375.00000000,375.00000000,Nos
1/13/2024,Kerbstone,Roof Tiles 50x50 5cm White,240.00000000,240.00000000,M2
1/13/2024,Plant-01 Day Shift,Rectangle 20x10/6cm/Red/Single Mix,"1,778.40000000","1,778.40000000",M2
1/13/2024,Plant-01 Night Shift,Rectangle 20x10/8cm/Grey,"1,136.40000000","1,136.40000000",M2
1/13/2024,Plant-02 Day Shift,La Plaza Bishop/6cm/Grey,"1,033.13000000","1,033.13000000",M2
1/13/2024,Plant-02 Day Shift,Marbella Trapez/6cm/Grey,259.20000000,259.20000000,M2
1/13/2024,Plant-02 Night Shift,Diamond/8cm/Yellow,335.28000000,335.28000000,M2
1/13/2024,Plant-02 Night Shift,Square 20x20/8cm/Yellow,"1,092.00000000","1,092.00000000",M2
1/13/2024,Plant-03 Day Shift,Rectangle 20x10/8cm/Grey/Single Mix,"1,620.00000000","1,620.00000000",M2
1/13/2024,Plant-03 Night Shift,Rectangle 20x10/8cm/Grey/Single Mix,948.00000000,948.00000000,M2
1/13/2024,Plant-01 Day Shift,Uni Block/8cm/Grey,"1,747.58000000","1,747.58000000",M2
1/13/2024,Plant-01 Night Shift,Rectangle 20x10/8cm/Grey,"1,839.60000000","1,839.60000000",M2
1/13/2024,Plant-02 Day Shift,Marbella Trapez/8cm/Black,"1,023.30000000","1,023.30000000",M2
1/13/2024,Plant-02 Day Shift,Behaton/8cm/Black,446.54000000,446.54000000,M2
1/13/2024,Plant-02 Night Shift,Square 10x10/8cm/Black,418.00000000,418.00000000,M2
1/13/2024,Plant-02 Night Shift,Square 16x16/6cm/Black,236.50000000,236.50000000,M2
1/13/2024,Plant-02 Night Shift,Diamond/8cm/Black,116.84000000,116.84000000,M2
1/13/2024,Plant-02 Night Shift,Square 20x20/8cm/Black,150.00000000,150.00000000,M2
1/14/2024,Kerbstone,Kerbstone 60x38x20 20ch,500.00000000,500.00000000,Nos
1/14/2024,Kerbstone,Kerbstone 91.5x20x10 B/N,650.00000000,650.00000000,Nos
1/14/2024,Kerbstone,Kerbstone 60x30x10 B/N,"1,195.00000000","1,195.00000000",Nos
1/14/2024,Kerbstone,Kerbstone 60x35x20 15ch,910.00000000,910.00000000,Nos
1/14/2024,Kerbstone,Kerbstone 60x30x15 10ch,"1,235.00000000","1,235.00000000",Nos
1/14/2024,Kerbstone,Roof Tiles 50x50 5cm White,176.00000000,176.00000000,M2
1/14/2024,Plant-01 Day Shift,Rectangle 60x30/6cm/Beige,120.96000000,120.96000000,M2
1/14/2024,Plant-01 Day Shift,Rectangle 60x30/6cm/Dark Grey,205.20000000,205.20000000,M2
1/14/2024,Plant-01 Night Shift,Rectangle 60x30/6cm/Dark Grey,298.08000000,298.08000000,M2
1/14/2024,Plant-01 Night Shift,Square 40x40/6cm/Black,178.56000000,178.56000000,M2
1/14/2024,Plant-01 Night Shift,Square 40x40/6cm/Grey,902.40000000,902.40000000,M2
1/14/2024,Plant-02 Day Shift,Square 20x20/8cm/Black,477.60000000,477.60000000,M2
1/14/2024,Plant-02 Night Shift,Square 20x20/8cm/Beige,432.00000000,432.00000000,M2
1/14/2024,Plant-02 Night Shift,Rectangle 60x30/6cm/Beige,637.20000000,637.20000000,M2
1/14/2024,Plant-02 Night Shift,Square 30x30/6cm/Beige,361.80000000,361.80000000,M2
1/14/2024,Plant-02 Night Shift,Square 20x20/6cm/Beige,252.00000000,252.00000000,M2
1/14/2024,Plant-03 Night Shift,Square 20x20/6cm/Beige,30.00000000,30.00000000,M2
1/14/2024,Plant-03 Night Shift,Square 40x40/8cm/Grey,297.60000000,297.60000000,M2
1/14/2024,Plant-03 Night Shift,Square 40x40/8cm/Dark Grey,528.00000000,528.00000000,M2
1/14/2024,TopWerk,Rectangle 60x40/8cm/Grey/ShotBlast,375.00000000,324.00000000,M2
1/14/2024,TopWerk,Rectangle 60x40/8cm/White/ShotBlast,213.00000000,189.00000000,M2
1/15/2024,Kerbstone,Kerbstone 60x30x15 10ch,"2,320.00000000","2,320.00000000",Nos
1/15/2024,Kerbstone,Kerbstone 91.5x20x10 B/N,705.00000000,705.00000000,Nos
1/15/2024,Kerbstone,Kerbstone 60x30x10 B/N,"1,220.00000000","1,220.00000000",Nos
1/15/2024,Kerbstone,Kerbstone 60x35x20 15ch,940.00000000,940.00000000,Nos
1/15/2024,Kerbstone,Roof Tiles 50x50 5cm White,248.00000000,248.00000000,M2
1/15/2024,Plant-01 Day Shift,Rectangle 20x10/10cm/Grey,"1,231.20000000","1,231.20000000",M2
1/15/2024,Plant-01 Night Shift,Square 20x20/8cm/Grey,"1,245.60000000","1,245.60000000",M2
1/15/2024,Plant-01 Night Shift,Square 20x20/8cm/Dark Grey,459.60000000,459.60000000,M2
1/15/2024,Plant-02 Day Shift,Square 20x20/6cm/Beige,28.80000000,28.80000000,M2
1/15/2024,Plant-02 Day Shift,Rectangle 60x30/8cm/White,183.60000000,183.60000000,M2
1/15/2024,Plant-02 Day Shift,Rectangle 60x30/8cm/Dark Grey,963.36000000,963.36000000,M2
1/15/2024,Plant-02 Day Shift,Rectangle 60x30/8cm/Black,199.80000000,199.80000000,M2
1/15/2024,Plant-02 Night Shift,Rectangle 60x30/6cm/White,540.00000000,540.00000000,M2
1/15/2024,Plant-02 Night Shift,Square 30x30/8cm/White,280.80000000,280.80000000,M2
1/15/2024,Plant-02 Night Shift,Square 10x10/8cm/White,352.00000000,352.00000000,M2
1/15/2024,Plant-02 Night Shift,Rectangle 60x30/8cm/Yellow,183.60000000,183.60000000,M2
